SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
3795.691,124,8,453,2,2,0,50,1,20,0,0
3805.691,125,2,454,3,3,0,50,2,30,0,0
3815.691,125,8,455,4,4,0,50,2,30,0,0
3825.691,125,14,456,5,5,0,50,2,30,0,0
3835.691,126,2,457,6,6,0,66.66666,0,40,0,0
3845.691,126,6,458,0,0,0,66.66666,0,40,0,0
3855.691,126,11,459,0,0,0,66.66666,0,40,0,0
3865.691,126,16,460,0,0,0,66.66666,0,40,0,0
3875.691,127,2,462,1,1,0,50,1,18,0,0
3885.691,127,8,463,2,2,0,50,1,18,0,0
3895.691,128,3,464,3,3,0,75,2,25,0,0
3905.691,128,10,465,4,4,0,75,2,25,0,0
3915.691,128,15,467,6,6,0,75,2,25,0,0
3925.691,129,2,468,3,3,0,56.24983,0,40,0,0
3935.691,129,7,469,1,1,0,56.24983,0,40,0,0
3945.691,129,13,470,1,1,0,56.24983,0,40,0,0
3955.691,129,17,471,1,1,0,56.24983,0,40,0,0
3965.691,130,3,473,2,2,0,62.5,1,20,0,0
3975.691,130,11,474,3,3,0,62.5,1,20,0,0
3985.691,131,3,476,2,2,0,75,2,30,0,0
3995.691,131,9,477,1,1,0,75,2,30,0,0
4005.691,131,15,478,2,2,0,75,2,30,0,0
4015.691,132,2,479,1,1,0,50,0,40,0,0
4025.691,132,7,480,0,0,0,50,0,40,0,0
4035.691,132,12,482,1,1,0,50,0,40,0,0
4045.691,132,16,483,1,1,0,50,0,40,0,0
4055.691,133,3,484,1,1,0,62.5,1,20,0,0
4065.691,133,10,485,2,2,0,62.5,1,20,0,0
4075.691,134,2,486,3,3,0,75,2,30,0,0
4085.691,134,7,487,4,4,0,75,2,30,0,0
