Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
889,30,143,7,1022.452
890,30,143,7,1023.458
891,30,143,7,1024.488
892,30,143,7,1025.493
893,30,143,7,1027.072
894,30,143,7,1028.405
895,30,143,7,1029.624
896,30,144,8,1031.185
897,30,144,8,1032.545
898,30,144,8,1033.872
899,30,144,8,1034.968
900,30,144,8,1036.026
901,31,145,9,1037.031
902,31,145,9,1038.092
903,31,145,9,1039.126
904,31,145,9,1040.218
905,31,145,9,1041.257
906,31,146,10,1042.518
907,31,146,10,1043.66
908,31,146,10,1044.663
909,31,146,10,1045.769
910,31,146,10,1046.828
911,31,146,10,1048.027
912,31,146,8,1049.476
913,31,147,8,1050.93
914,31,147,7,1052.009
915,31,147,5,1053.646
916,31,147,3,1055.472
917,31,147,1,1057.408
918,31,148,2,1058.742
919,31,148,1,1060.365
920,31,148,1,1061.543
921,31,148,1,1062.636
922,31,149,2,1063.71
923,31,149,2,1064.72
924,31,149,1,1065.792
925,31,149,1,1066.799
926,31,149,1,1067.819
927,31,149,1,1068.867
928,31,149,1,1069.885
929,31,150,1,1070.92
930,31,150,1,1071.973
931,32,150,1,1073.062
932,32,150,1,1074.092
933,32,150,1,1075.117
934,32,150,1,1076.145
935,32,150,1,1077.25
936,32,150,1,1078.26
937,32,150,1,1079.305
938,32,151,2,1080.347
939,32,151,2,1081.373
940,32,151,2,1082.448
941,32,151,2,1083.533
942,32,151,2,1084.545
943,32,151,2,1085.587
944,32,151,2,1086.702
945,32,152,3,1087.741
946,32,152,3,1088.798
947,32,152,3,1089.911
948,32,152,3,1091.244
949,32,152,3,1092.319
950,32,152,3,1093.351
951,32,152,3,1094.423
952,32,152,3,1095.448
953,32,152,3,1096.524
954,32,153,4,1097.563
955,32,153,4,1098.578
956,32,153,4,1099.629
957,32,153,4,1100.746
958,32,153,4,1101.772
959,32,153,4,1102.813
960,32,153,4,1103.885
961,33,153,4,1105
962,33,154,5,1106.207
963,33,154,5,1107.281
964,33,154,5,1108.323
965,33,154,5,1109.352
966,33,154,5,1110.471
967,33,154,5,1111.851
968,33,154,5,1113.036
969,33,154,5,1114.164
970,33,155,6,1115.425
971,33,155,6,1116.882
972,33,155,6,1118.272
973,33,155,6,1119.298
974,33,155,6,1120.394
975,33,155,6,1121.481
976,33,155,6,1122.842
977,33,156,7,1125.143
978,33,156,7,1126.402
979,33,156,7,1127.735
980,33,156,7,1128.828
981,33,157,8,1130.818
982,33,157,8,1132.085
983,33,157,8,1133.628
984,33,157,8,1134.712
985,33,157,8,1135.983
986,33,158,9,1137.142
987,33,158,8,1138.276
988,33,158,7,1139.347
989,33,158,6,1140.409
990,33,158,5,1141.521
991,34,158,4,1142.683
992,34,158,3,1144.122
993,34,158,1,1145.506
994,34,159,1,1146.756
995,34,159,1,1147.852
996,34,159,1,1149.014
997,34,159,1,1150.294
998,34,159,1,1151.53
999,34,159,1,1152.546
1000,34,159,1,1153.597
1001,34,160,1,1155.698
1002,34,160,1,1157.031
1003,34,160,1,1158.224
1004,34,160,1,1159.761
1005,34,160,1,1160.9
1006,34,160,1,1161.955
1007,34,161,1,1162.998
1008,34,161,1,1164.057
1009,34,161,1,1165.109
1010,34,161,1,1166.128
1011,34,161,1,1167.246
1012,34,161,1,1168.309
1013,34,162,2,1169.314
1014,34,162,2,1170.349
1015,34,162,2,1171.373
1016,34,162,2,1172.42
1017,34,162,2,1173.51
1018,34,163,3,1174.592
1019,34,163,3,1175.851
1020,34,163,3,1176.923
1021,35,163,3,1178.012
1022,35,163,3,1179.301
1023,35,163,3,1180.415
1024,35,163,3,1181.451
1025,35,164,4,1182.461
1026,35,164,4,1183.535
